Marital_Status,Kidhome,Teenhome,Education_Level,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmpOverall
Married,0,0,Graduation,55987,41,95,14,57,19,14,14,1
Single,0,0,Graduation,81837,54,175,16,84,22,24,18,1
Single,0,0,Graduation,72978,28,151,13,81,20,17,15,0
Married,0,2,Graduation,64409,37,0,13,78,64,47,0,1
Married,1,1,Master,76649,33,0,31,39,51,53,0,0
Married,0,1,Graduation,68440,46,82,11,61,44,47,2,1
Together,0,2,Graduation,70062,0,0,12,71,54,54,0,1
Single,1,0,Graduation,84549,25,69,32,34,34,45,3,1
Married,0,0,Master,66566,52,148,19,75,17,11,9,0
Single,0,0,Graduation,67389,69,122,19,62,23,12,11,0
Together,1,2,Graduation,69839,43,0,34,33,57,83,0,0
Together,2,2,Graduation,36195,32,0,22,0,38,49,0,1
Married,0,2,Master,117572,15,0,29,116,130,97,0,1
Married,1,1,Graduation,76141,36,0,22,47,38,50,0,1
Single,0,0,PhD,97348,49,192,25,119,39,15,25,1
Married,1,1,2n Cycle,43732,62,0,11,15,33,40,0,0
Together,1,2,Graduation,94907,12,0,49,48,99,110,0,1
Married,1,2,Graduation,67713,22,0,34,42,63,80,0,1
Single,0,0,Graduation,28449,77,64,4,37,4,8,4,0
Married,1,1,Master,58665,31,0,23,22,44,44,0,1
Together,0,0,Master,54570,51,118,16,69,22,12,15,1
Single,0,0,Master,58399,28,124,5,54,17,13,14,1
Single,0,0,Graduation,43652,40,94,8,43,14,8,8,1
Married,2,1,PhD,102156,29,0,74,0,71,107,0,1
Together,0,0,Graduation,68685,37,137,11,69,26,17,16,1
Single,0,0,Master,77669,44,175,20,86,23,22,12,0
Single,0,0,PhD,86450,45,176,15,70,28,20,15,1
Single,0,0,Graduation,59324,45,114,7,54,22,17,14,1
Single,0,0,Master,46608,34,84,6,49,15,11,10,0
Married,1,1,Graduation,50330,47,0,14,28,24,42,0,1
Married,2,1,Graduation,50967,32,0,22,0,35,38,0,0
Married,0,2,Graduation,56620,24,0,13,58,71,45,0,0
Married,2,0,Graduation,98401,18,0,56,0,37,72,0,1
Single,0,0,Graduation,40562,30,74,13,49,12,15,7,1
Together,0,0,Master,95172,58,191,17,106,35,18,23,1
Married,2,1,2n Cycle,52187,19,0,24,0,26,61,0,0
Widow,0,0,Basic,44672,31,80,7,41,7,7,13,1
Married,2,1,Graduation,79323,12,0,35,0,61,78,0,1
Single,0,0,Graduation,82008,11,167,11,85,28,19,15,1
Married,2,2,Graduation,48635,58,0,24,0,36,65,0,0
Single,0,0,Graduation,61655,45,127,13,60,17,18,11,1
Married,1,2,2n Cycle,85806,13,0,37,36,81,94,0,1
Single,0,0,Basic,63663,38,140,14,87,19,15,15,0
Single,0,0,Master,46826,26,95,7,41,19,5,7,0
Together,2,0,Graduation,62926,36,0,39,0,21,44,0,0
Single,0,0,Graduation,38864,43,90,8,37,10,9,14,1
Together,0,0,PhD,88611,57,171,16,80,32,22,21,1
Single,0,0,Master,72482,32,153,14,72,27,22,12,1
Married,0,2,2n Cycle,76476,37,0,17,67,88,60,0,1
Married,0,2,Graduation,58674,34,0,8,60,52,53,0,0
Married,0,0,Master,69514,30,121,14,68,26,21,12,1
Single,0,0,Master,84827,46,168,11,88,28,24,18,1
Single,1,0,Master,85464,35,72,31,56,31,43,8,1
Single,0,0,Graduation,88083,56,196,18,106,34,20,14,1
Single,0,0,Graduation,84316,47,177,9,92,22,20,18,1
Married,0,1,Graduation,48269,32,51,9,46,27,23,8,1
Together,0,1,Graduation,84361,49,74,16,103,47,43,12,1
Together,0,2,Graduation,65483,37,0,11,82,54,45,0,0
Married,1,1,2n Cycle,78912,24,0,23,37,54,59,0,0
Married,0,2,2n Cycle,62928,47,0,6,60,57,52,0,0
Married,0,0,PhD,76275,55,146,20,77,33,18,13,1
Single,0,0,Graduation,58729,30,113,9,62,19,17,14,0
Together,1,2,Graduation,66968,17,0,23,40,77,71,0,1
Married,0,0,Master,84351,43,170,16,76,19,30,27,1
Married,0,2,Graduation,87604,25,0,18,86,73,79,0,1
Single,0,0,Graduation,47434,40,77,10,60,10,14,11,1
Married,0,2,Graduation,56128,22,0,12,67,61,30,0,0
Married,2,2,Graduation,48553,27,0,33,0,38,61,0,1
Together,2,0,Graduation,62668,37,0,34,0,24,56,0,1
Married,0,1,PhD,76880,15,80,16,72,45,38,12,1
Single,0,0,Graduation,58033,38,100,7,66,21,19,13,0
Widow,1,0,Master,85369,28,85,31,35,25,32,13,1
Single,0,0,2n Cycle,31260,51,69,7,23,6,6,7,0
Married,1,0,Graduation,64667,47,77,27,33,19,23,11,1
Single,1,0,Master,75440,48,57,37,36,27,26,7,0
Married,2,0,Graduation,74032,27,0,46,0,17,49,0,1
Together,2,0,Graduation,60388,41,0,41,0,18,45,0,1
Single,0,0,Graduation,62465,21,121,18,48,23,17,16,1
Together,1,2,2n Cycle,56921,49,0,23,22,55,63,0,1
Single,0,0,Graduation,48054,34,99,9,51,12,17,11,1
Together,0,2,Master,55523,14,0,12,68,48,30,0,0
Married,1,2,2n Cycle,108309,13,0,45,57,116,113,0,1
Together,0,0,PhD,92429,62,171,12,83,36,18,12,1
Single,0,0,Graduation,79219,51,156,16,87,23,22,10,0
Widow,0,0,2n Cycle,82056,68,144,16,77,28,27,17,1
Married,0,0,Graduation,93894,45,181,22,89,32,18,14,1
Single,0,0,Graduation,71599,63,149,19,66,22,15,20,1
Together,0,2,2n Cycle,29426,31,0,7,25,30,22,0,1
Single,0,0,Master,57425,24,124,15,62,16,12,11,1
Together,0,0,Graduation,69543,48,144,13,66,24,17,12,1
Single,0,0,Graduation,66134,44,137,9,68,24,13,25,1
Married,0,2,PhD,91971,38,0,22,89,74,70,0,1
Married,1,1,Graduation,56263,46,0,22,20,30,55,0,1
Single,0,0,Graduation,54580,50,100,8,52,16,15,10,0
Single,0,0,Graduation,66713,41,131,9,70,26,12,12,1
Single,0,0,Graduation,63544,42,111,15,69,31,21,9,1
Married,0,1,Graduation,84631,43,86,14,79,52,45,10,1
Single,0,0,Graduation,46877,23,107,8,48,14,9,10,1
Married,1,2,Graduation,80288,16,0,41,32,98,79,0,1
Single,0,0,Master,61406,75,115,12,50,23,16,13,0
Single,1,0,Master,64658,31,64,23,35,17,41,4,0
Married,0,1,Master,79163,47,82,14,76,57,41,8,1
Single,0,0,Graduation,37028,40,67,13,45,15,7,5,0
Together,1,2,2n Cycle,62906,25,0,22,34,60,87,0,1
Together,0,1,Graduation,84865,3,83,25,87,55,50,7,1
Married,0,0,Graduation,54758,53,116,13,56,20,15,13,0
Married,0,2,2n Cycle,95866,22,0,19,84,85,83,0,1
Together,0,2,Graduation,56286,3,0,9,48,60,42,0,1
Single,0,0,Graduation,71835,21,142,12,70,31,13,16,1
Single,0,0,Master,50151,46,107,12,52,19,13,14,1
Single,0,0,Graduation,95387,30,184,21,114,42,21,26,1
Married,1,2,PhD,74096,15,0,20,48,68,85,0,1
Single,0,0,Master,73106,36,129,10,68,24,32,17,1
Married,2,2,2n Cycle,59959,0,0,35,0,51,69,0,1
Widow,0,0,Graduation,77251,18,162,8,86,25,12,16,1
Together,2,2,Graduation,67681,32,0,47,0,64,77,0,1
Married,2,0,Master,75107,40,0,37,0,21,52,0,0
Single,1,0,Graduation,52803,48,50,19,24,18,23,7,1
Together,0,2,Graduation,65291,42,0,12,76,65,42,0,0
Married,0,1,Graduation,71965,44,72,17,76,47,43,14,1
Single,0,0,Graduation,67857,64,146,13,68,20,17,18,0
Single,0,0,PhD,87267,50,190,14,78,48,24,18,1
Together,0,2,Graduation,78164,32,0,17,82,96,60,0,1
Married,0,1,2n Cycle,76424,60,83,13,87,53,43,3,1
Together,0,1,Graduation,67983,46,59,10,62,57,47,4,1
Together,0,0,Master,69152,51,121,17,64,30,15,11,0
Married,0,2,Graduation,50006,27,0,10,53,43,52,0,1
Married,0,0,Master,82329,42,171,13,67,21,11,14,1
Married,0,2,Master,96417,13,0,25,93,103,79,0,1
Single,0,0,Master,58494,21,111,15,56,24,11,15,1
Married,1,0,Graduation,62977,12,59,20,38,23,37,8,1
Married,0,0,Graduation,92581,37,200,14,81,39,21,15,1
Married,0,1,2n Cycle,92487,56,79,25,99,61,48,8,1
Together,0,0,Graduation,53476,51,109,7,51,18,16,7,1
Married,1,2,Graduation,111272,36,0,52,47,118,106,0,1
Married,0,2,Graduation,79262,19,0,19,67,65,65,0,1
Married,2,2,Graduation,86851,25,0,54,0,98,100,0,1
Married,0,2,Graduation,67717,63,0,19,70,75,59,0,0
Married,0,1,Basic,63872,50,61,20,66,36,23,10,1
Single,0,0,Basic,56387,38,98,13,58,15,8,10,1
Married,0,1,Master,66506,12,65,16,74,56,39,8,1
Single,0,0,Graduation,87802,21,188,26,95,26,24,17,1
Single,0,0,Master,69412,52,136,16,82,30,21,11,1
Married,0,1,Graduation,65498,41,79,16,76,53,34,7,1
Married,0,0,PhD,72617,69,149,14,68,30,13,19,0
Widow,0,0,Master,93435,41,193,20,67,30,22,19,1
Married,2,0,Graduation,76838,10,0,50,0,38,78,0,1
Married,0,2,Graduation,58365,30,0,16,64,61,47,0,1
Married,0,2,2n Cycle,70101,33,0,15,72,63,58,0,1
Married,1,1,Graduation,80318,26,0,24,32,63,71,0,1
Single,0,0,Master,64075,43,137,14,58,12,15,14,1
Single,0,0,Graduation,68603,48,119,12,59,29,15,12,1
Single,0,0,Graduation,63070,13,118,7,68,19,16,14,1
Married,2,2,Graduation,69705,12,0,35,0,74,83,0,1
Single,0,0,Master,55600,63,95,11,57,11,11,10,1
Single,0,0,Graduation,65985,67,113,18,94,22,17,10,0
Single,0,0,Master,38889,26,59,16,40,9,7,7,0
Widow,0,0,Graduation,99571,20,214,21,83,35,23,20,1
Single,0,0,Graduation,80808,53,181,21,94,30,19,16,0
Married,1,1,Basic,44632,65,0,21,19,31,37,0,0
Single,0,0,Graduation,41416,49,76,12,47,11,9,10,1
Married,2,1,Master,97538,26,0,55,0,57,103,0,1
Single,0,0,Master,67508,32,144,14,67,32,14,12,1
Single,0,0,Graduation,63897,58,139,14,68,26,20,9,0
Married,0,2,Graduation,73358,28,0,13,77,69,54,0,1
Single,1,0,Graduation,43289,64,45,18,23,6,18,6,1
Single,0,0,Graduation,74781,47,162,22,87,32,14,14,1
Single,0,0,Graduation,69733,46,129,9,63,22,18,15,0
Single,0,0,Graduation,63281,31,151,6,73,20,15,20,1
Single,0,0,Master,35966,34,78,6,33,14,7,10,0
Single,0,0,Master,77554,32,137,23,85,30,19,16,1
Together,2,2,Graduation,71673,21,0,40,0,66,80,0,1
Married,0,0,Master,78583,58,160,14,84,29,20,9,0
Married,1,2,Graduation,87478,38,0,37,57,79,94,0,1
Single,0,0,Graduation,79934,34,165,17,63,38,24,13,0
Together,0,2,2n Cycle,66035,2,0,15,64,81,56,0,1
Single,0,0,Master,47318,34,88,6,56,17,11,11,0
Single,0,0,Master,51020,47,111,14,59,26,12,15,0
Married,1,0,Master,69534,41,59,17,36,25,32,4,1
Single,1,0,Master,66271,65,87,27,28,20,47,8,0
Single,0,0,2n Cycle,70623,64,145,10,72,24,23,13,0
Married,0,2,2n Cycle,72941,44,0,16,78,63,56,0,1
Together,1,2,Graduation,63513,18,0,23,24,51,70,0,1
Married,1,1,Master,89434,35,0,38,58,62,54,0,0
Married,2,0,PhD,78369,39,0,45,0,38,58,0,1
Widow,0,0,Graduation,87403,61,175,22,87,29,21,18,1
Single,0,0,Master,73416,27,165,15,58,24,17,14,1
Single,0,0,Graduation,70848,56,150,19,72,23,20,14,1
Single,0,0,Basic,62693,52,114,15,66,18,22,13,1
Married,1,2,Graduation,72286,20,0,26,39,84,72,0,1
Married,0,2,Master,50133,54,0,13,50,64,41,0,1
Together,2,2,Graduation,56113,0,0,32,0,41,82,0,1
Married,2,1,Master,91724,58,0,58,0,72,91,0,1
Married,0,0,Graduation,64527,63,122,10,77,17,19,14,0
Single,0,0,2n Cycle,48033,42,100,4,43,19,12,13,1
Together,0,1,Graduation,66933,31,64,7,67,34,29,6,1
Widow,0,0,Master,101400,39,212,28,97,34,27,27,1
Together,0,0,Graduation,72870,31,170,17,74,30,16,16,1
Single,0,0,Master,96111,36,200,17,104,30,29,25,0
Married,1,1,Graduation,79022,44,0,29,48,52,59,0,0
Single,0,0,Graduation,68442,32,138,10,64,17,14,15,0
Single,0,0,Master,66494,57,130,12,66,25,17,16,1
Single,1,0,Graduation,39729,37,40,19,16,13,19,2,0
Married,1,0,Master,82209,53,75,41,33,26,39,7,1
Married,1,2,2n Cycle,68622,48,0,33,29,82,80,0,0
Single,0,0,Graduation,72953,27,151,11,70,33,21,6,0
Single,0,0,Master,74573,10,163,22,72,38,17,15,1
Married,0,0,Master,84038,44,162,16,89,27,19,16,0
Single,0,0,Graduation,80033,45,152,18,79,30,26,12,0
Single,0,0,Graduation,59083,25,98,9,57,12,14,8,1
Married,0,2,Graduation,85579,56,0,26,89,90,56,0,0
Married,0,1,Graduation,92327,30,85,15,108,57,54,4,1
Single,0,0,2n Cycle,49695,54,107,9,55,13,11,14,0
Single,0,0,2n Cycle,51878,33,108,15,61,8,16,10,1
Single,1,0,Master,58478,16,57,19,38,15,27,7,1
Together,1,2,Master,52637,47,0,20,26,53,55,0,0
Married,1,2,Graduation,100657,11,0,36,59,91,103,0,1
Married,1,0,Master,127776,44,134,57,73,39,69,11,1
Single,0,0,2n Cycle,61157,31,132,8,73,27,14,11,1
Married,1,1,Graduation,68040,29,0,20,38,39,66,0,1
Single,0,0,Master,96068,38,183,11,98,35,21,29,1
Married,1,2,Master,89015,25,0,27,44,89,109,0,1
Together,0,2,Graduation,54687,24,0,12,60,41,43,0,1
Married,1,2,Master,66826,39,0,18,26,80,73,0,1
Together,2,2,Graduation,78283,36,0,43,0,70,92,0,1
Married,1,0,Master,85746,54,76,31,38,34,43,4,1
Single,0,0,Graduation,79834,35,140,14,81,26,22,18,1
Together,1,2,Master,83556,9,0,36,41,98,93,0,1
Single,0,0,2n Cycle,39690,49,79,7,32,11,12,8,0
Married,0,1,Graduation,61395,44,64,13,61,30,22,4,0
Single,0,0,Graduation,49832,50,106,10,66,14,11,12,1
Single,0,0,Graduation,66255,66,141,7,73,19,16,14,1
Married,0,0,Master,78151,43,167,14,73,31,23,14,0
Single,0,0,PhD,73164,74,141,16,72,30,20,11,1
Married,0,0,Master,75335,55,136,19,76,25,17,15,0
Married,2,1,Graduation,83110,40,0,48,0,63,71,0,1
Single,0,0,Master,67286,44,150,20,72,26,15,16,1
Single,0,0,2n Cycle,47784,40,95,6,52,15,13,8,0
Married,0,0,Graduation,53421,35,99,11,69,21,20,12,0
Single,0,0,Master,56456,47,95,16,52,14,19,12,0
Married,1,0,2n Cycle,84022,49,80,31,45,28,32,5,1
Married,0,2,Master,69977,30,0,16,69,67,59,0,1
Together,0,2,Master,100206,24,0,23,112,84,67,0,1
Married,0,1,Graduation,82443,21,81,21,81,49,39,8,1
Married,1,0,Graduation,60752,46,62,19,34,15,26,5,0
Married,0,2,Graduation,63810,17,0,12,57,60,47,0,1
Single,0,0,PhD,48368,51,107,12,42,16,11,12,1
Single,0,0,Graduation,56403,48,114,13,54,22,16,11,0
Married,2,1,Graduation,102227,22,0,59,0,73,102,0,1
Married,1,1,2n Cycle,92498,48,0,35,40,70,61,0,0
Married,2,2,Graduation,97126,44,0,47,0,96,104,0,1
Together,2,0,Master,82138,0,0,53,0,34,88,0,1
Together,1,0,Graduation,63331,16,77,24,48,13,25,8,0
Together,0,2,PhD,84467,40,0,20,76,84,58,0,1
Married,0,2,Graduation,81170,57,0,14,86,96,65,0,1
Single,0,0,Graduation,62755,23,118,15,74,31,16,10,1
Married,2,0,Basic,48208,41,0,29,0,18,45,0,1
Single,0,0,PhD,78920,15,163,14,78,33,22,15,1
Married,0,1,Graduation,52708,11,48,9,72,33,34,4,0
Married,0,2,Graduation,81921,62,0,20,89,93,64,0,1
Married,0,0,Graduation,59367,49,109,14,59,12,15,6,0
Single,0,0,Graduation,71545,19,153,18,70,19,13,12,0
Single,0,0,Graduation,46797,42,100,11,48,13,8,9,0
Married,2,2,Master,77505,10,0,49,0,85,95,0,1
Single,0,0,Graduation,67124,36,127,17,70,30,16,11,0
Together,1,2,Graduation,63539,23,0,27,29,78,81,0,1
Single,0,0,Master,79597,45,166,9,83,19,19,15,1
Single,0,0,Graduation,69715,49,144,17,68,20,14,9,0
Single,0,0,Graduation,56673,34,111,9,61,24,8,16,1
Married,0,0,Graduation,64150,32,106,9,52,23,16,15,0
Married,0,2,Graduation,63082,39,0,16,65,64,38,0,0
Single,0,0,2n Cycle,45926,35,90,8,42,15,18,7,1
Single,0,0,Graduation,94456,30,184,19,86,36,22,16,1
Married,0,0,Graduation,63540,45,118,15,61,31,13,10,1
Single,0,0,2n Cycle,74381,43,156,17,87,22,14,8,1
Married,2,0,Graduation,75456,25,0,44,0,30,40,0,1
Married,1,1,PhD,84669,47,0,28,48,58,71,0,0
Single,0,0,PhD,82912,49,169,34,97,25,25,22,1
Single,0,0,Master,73819,72,143,15,75,29,17,16,1
Widow,0,0,Graduation,51632,41,121,13,53,20,15,14,0
Married,2,1,Basic,58834,39,0,35,0,46,64,0,1
Married,2,1,Master,80095,48,0,51,0,58,71,0,0
Single,1,0,2n Cycle,53063,26,51,20,21,12,26,3,1
Married,1,2,Graduation,41156,25,0,14,21,36,30,0,1
Single,0,0,Graduation,58018,62,121,10,59,30,12,15,1
Married,0,2,Graduation,97202,40,0,11,99,88,73,0,1
Widow,0,0,Master,93258,40,178,22,94,37,18,18,1
Single,1,0,Master,54210,18,44,18,22,20,26,4,1
Single,0,0,Master,83397,22,159,22,88,34,32,21,1
Single,0,0,Master,53392,37,110,10,46,19,17,10,0
Single,0,0,Graduation,67033,31,122,10,62,12,20,11,1
Single,0,0,Master,74159,30,123,14,81,35,8,16,1
Single,0,0,Graduation,57494,16,143,15,46,16,10,14,1
Married,0,2,Master,95633,10,0,23,111,96,69,0,1
Married,0,2,2n Cycle,79305,18,0,17,71,69,61,0,1
Single,0,0,Master,58370,45,104,10,61,21,14,10,1
Together,0,1,PhD,78648,31,84,13,85,52,36,7,1
Single,0,0,Basic,37149,47,58,5,40,13,8,11,0
Widow,0,0,2n Cycle,64397,43,128,10,65,30,20,13,1
Single,0,0,2n Cycle,67751,17,131,13,55,25,16,13,1
Together,2,0,Graduation,65797,49,0,47,0,26,35,0,1
Married,0,1,Graduation,88441,47,90,19,86,62,40,9,1
Together,1,0,Master,49289,40,55,20,17,17,24,4,1
Widow,0,0,Graduation,82140,33,173,12,79,22,27,21,1
Single,0,0,Graduation,75467,62,157,8,69,25,25,19,1
Widow,1,0,Master,86521,21,88,40,47,22,49,9,1
Single,0,0,Graduation,42556,60,91,7,44,18,14,10,1
Single,0,0,Graduation,47250,32,88,13,47,16,15,10,1
Single,1,0,Master,83628,56,85,33,37,24,33,8,1
Married,1,2,Master,72005,34,0,24,27,75,77,0,1
Single,0,0,Basic,38307,59,66,10,39,9,8,7,0
Married,2,2,2n Cycle,62917,26,0,43,0,73,69,0,1
Married,2,2,Graduation,69201,29,0,43,0,71,82,0,0
Married,1,0,Graduation,90793,36,84,49,58,30,41,13,1
Together,0,2,Graduation,39822,20,0,7,37,29,26,0,0
Married,0,1,Master,88637,52,91,16,88,62,38,9,0
Single,0,0,Master,91910,36,197,10,87,40,22,19,0
Single,0,0,Graduation,77179,43,151,13,72,22,12,23,1
Single,0,0,Graduation,97856,16,221,27,93,26,21,17,1
Single,0,0,Graduation,56140,41,107,11,60,16,12,6,1
Single,0,0,Graduation,76382,48,150,29,75,27,11,15,1
Single,0,0,Graduation,61709,69,105,6,51,20,13,7,1
Widow,0,0,Master,77216,41,155,15,79,32,16,11,0
Married,0,1,Graduation,39699,35,54,8,36,30,20,3,1
Single,0,0,2n Cycle,51028,35,111,10,47,22,10,9,1
Married,0,2,Graduation,88976,21,0,25,84,96,62,0,1
Single,0,0,Graduation,37265,73,74,4,37,16,6,4,0
Married,1,1,Graduation,104464,13,0,44,54,66,79,0,1
Married,1,1,2n Cycle,74147,26,0,28,35,44,59,0,1
Married,1,2,Graduation,56418,50,0,20,29,56,48,0,0
Married,1,0,Graduation,76429,54,65,34,28,29,28,6,1
Widow,0,0,PhD,105301,74,224,23,97,35,31,15,1
Together,0,0,Graduation,58666,60,124,9,46,19,16,12,1
Married,0,1,Graduation,63640,42,61,14,68,29,39,8,1
Married,0,2,Graduation,102612,39,0,16,111,96,74,0,1
Married,0,1,Graduation,67901,23,64,11,65,32,51,9,1
Single,0,0,Graduation,60845,42,133,18,58,23,14,12,1
Single,0,0,Graduation,82850,27,150,20,75,20,14,6,1
Single,0,0,Graduation,61907,65,118,13,49,19,23,13,0
Married,0,2,Master,91467,8,0,13,105,99,68,0,1
Married,1,1,Graduation,65923,29,0,30,26,45,42,0,1
Single,0,0,PhD,69534,27,141,14,77,17,25,15,1
Widow,0,0,Master,90713,56,128,19,88,33,19,15,1
Together,1,0,Graduation,51285,42,43,22,28,17,25,9,1
Married,0,0,Graduation,79107,41,169,15,72,28,25,12,1
Married,1,2,Graduation,59234,11,0,26,29,54,59,0,0
Together,0,0,Graduation,71963,64,155,15,66,24,24,14,1
Single,0,0,Graduation,81525,27,180,18,76,37,16,22,1
Married,2,2,Basic,30098,20,0,23,0,29,39,0,0
Single,0,0,PhD,73832,42,142,18,69,18,15,8,0
Married,2,0,2n Cycle,38604,44,0,18,0,14,31,0,0
Single,0,0,Graduation,58600,39,97,12,57,14,20,8,0
Together,0,2,2n Cycle,66043,54,0,19,75,74,52,0,0
Together,0,1,Graduation,60899,39,64,13,58,38,32,4,0
Single,0,0,Master,37886,71,84,12,37,10,10,6,0
Married,0,2,Graduation,86482,17,0,16,88,105,68,0,1
Widow,0,0,Graduation,56104,52,113,14,50,12,8,11,1
Married,0,2,Master,92534,19,0,26,90,101,73,0,1
Together,0,2,Master,61798,31,0,17,59,54,55,0,1
Married,2,2,Master,66944,3,0,40,0,71,107,0,1
Single,0,0,Master,70162,63,134,17,66,18,15,11,0
Single,0,0,Graduation,78993,62,166,12,76,31,20,15,1
Single,0,0,Graduation,92333,59,197,12,83,28,20,19,1
Married,0,0,Graduation,66847,57,126,12,67,16,20,19,1
Single,0,0,Graduation,43470,86,77,8,36,14,13,11,0
Married,0,2,Graduation,78187,35,0,14,74,72,65,0,1
Married,0,1,Master,59911,64,67,11,42,39,23,4,1
Married,0,1,Graduation,84156,36,95,17,65,38,45,8,1
Together,2,0,PhD,89653,40,0,61,0,26,68,0,1
Widow,0,0,Graduation,98321,52,187,25,84,23,24,25,1
Married,0,0,Master,95802,13,169,14,86,29,22,17,1
Together,0,2,Graduation,68093,31,0,17,78,72,57,0,0
Married,0,0,Master,80467,38,165,17,101,22,19,10,1
Married,0,2,Graduation,59691,33,0,9,64,58,48,0,0
Widow,0,0,Graduation,64391,32,122,16,70,18,18,11,1
Single,0,0,2n Cycle,57380,46,111,10,49,18,18,20,1
Single,0,0,PhD,63842,48,142,9,67,14,21,13,0
Together,2,2,Basic,48982,10,0,26,0,52,62,0,0
Married,2,2,Graduation,65942,23,0,45,0,55,86,0,0
Together,1,1,Graduation,74888,28,0,30,38,43,55,0,1
Together,2,2,Graduation,65663,41,0,33,0,64,75,0,0
Single,0,0,Master,84924,50,167,10,83,29,17,14,1
Together,0,2,Master,68473,21,0,16,73,70,58,0,1
Married,0,2,PhD,72460,47,0,16,72,81,49,0,0
Married,0,0,Graduation,81235,41,152,20,85,29,16,15,1
Married,0,0,Graduation,71139,43,125,10,67,22,10,14,0
Together,0,1,Master,68948,24,83,24,64,46,28,7,1
Single,0,0,PhD,73668,45,146,10,83,21,30,17,1
Married,2,1,PhD,89827,40,0,60,0,50,92,0,1
Married,1,1,Master,75944,28,0,19,41,48,55,0,1
Married,1,1,2n Cycle,75752,56,0,35,42,38,58,0,1
Married,0,0,Basic,71099,56,128,13,66,23,14,10,1
Single,0,0,Master,64443,31,124,10,45,28,23,13,1
Single,0,0,Master,99994,43,183,17,102,38,16,14,1
Single,0,0,Master,61445,23,122,8,55,30,17,8,0
Together,0,2,Graduation,66270,18,0,15,87,73,60,0,0
Single,1,0,Graduation,38665,15,43,13,17,15,14,5,0
Single,1,0,Graduation,61432,14,62,26,24,15,30,4,0
Widow,1,0,Graduation,74946,33,67,23,40,26,35,13,1
Single,0,0,Graduation,62255,40,130,13,65,26,12,15,0
Widow,0,0,PhD,109654,42,210,25,108,40,30,20,1
Married,0,2,Graduation,98191,16,0,22,103,87,79,0,1
Together,2,2,Graduation,82620,34,0,49,0,77,105,0,1
Single,0,0,Graduation,61459,40,131,15,62,14,13,15,1
Single,0,0,Master,72951,47,152,9,83,36,22,18,1
Married,0,0,Graduation,95846,0,188,20,85,33,25,27,1
Together,1,1,PhD,67983,33,0,31,34,50,51,0,0
Married,2,0,2n Cycle,79773,43,0,44,0,22,48,0,1
Single,0,0,Graduation,49679,10,98,9,58,14,11,13,1
Married,0,2,Master,97146,30,0,16,114,96,68,0,1
Married,2,2,Graduation,70992,11,0,48,0,80,86,0,1
Married,0,2,Graduation,59805,57,0,10,59,52,50,0,1
Married,0,0,Graduation,63134,24,123,8,59,20,6,9,1
Together,0,2,Master,65515,65,0,13,65,63,45,0,1
Married,0,2,Basic,74294,51,0,18,65,62,64,0,1
Single,0,0,Graduation,83091,43,147,15,90,24,25,13,1
Married,0,2,Master,73971,11,0,15,77,82,55,0,0
Single,0,0,Graduation,49913,38,86,15,49,22,17,11,1
Married,2,1,Basic,90446,36,0,56,0,43,106,0,1
Married,1,1,Graduation,85285,33,0,45,36,68,66,0,1
Single,0,0,Graduation,51370,28,86,12,56,14,13,13,0
Single,0,0,Graduation,68392,59,136,11,68,27,17,13,1
Single,0,0,Master,63816,42,105,12,55,23,24,10,1
Together,0,0,Master,53722,48,91,15,54,18,14,9,0
Together,0,2,Graduation,61349,48,0,11,53,67,39,0,1
Single,0,0,PhD,59439,57,118,9,53,14,14,8,1
Widow,0,0,Graduation,70791,59,144,8,76,24,19,13,0
Married,1,2,Graduation,67198,38,0,34,33,54,83,0,0
Single,0,0,Master,61904,33,118,20,64,20,17,20,0
Single,0,0,Graduation,76664,41,151,22,79,32,30,15,1
Married,1,0,Graduation,79064,57,86,35,49,28,28,5,0
Married,2,2,Graduation,63411,3,0,49,0,65,79,0,1
Married,0,2,Graduation,77840,15,0,14,85,72,70,0,1
Single,0,0,Graduation,82589,49,181,15,81,31,20,19,1
Single,0,0,Master,57551,42,122,15,63,20,12,12,0
Married,0,2,Master,60288,8,0,13,66,57,47,0,0
Single,0,0,Graduation,46731,55,107,7,35,14,14,10,1
Single,0,0,Graduation,68647,49,128,17,65,28,13,11,1
Single,0,0,Graduation,85347,80,157,14,96,27,19,18,1
Together,1,2,Graduation,78717,30,0,35,33,70,65,0,1
Together,0,2,2n Cycle,80273,63,0,20,61,89,75,0,1
Married,0,0,Graduation,40009,60,86,4,43,18,17,10,1
Together,0,2,Graduation,53499,6,0,7,56,42,38,0,1
Single,0,0,Graduation,46232,45,91,7,38,15,11,10,1
Married,0,0,Master,88379,40,157,11,89,26,28,16,1
Single,0,0,Graduation,60009,42,120,10,65,20,19,8,1
Married,0,1,PhD,45007,27,53,9,47,33,17,5,1
Widow,0,0,Master,96395,52,194,16,85,37,28,18,1
Married,0,2,PhD,107521,24,0,20,128,91,79,0,1
Single,0,0,Master,100141,57,198,22,99,35,33,20,1
Married,0,0,Graduation,75475,57,136,18,63,25,16,13,1
Single,0,0,Graduation,72285,39,132,16,70,25,13,9,0
Together,0,0,2n Cycle,43880,36,86,6,43,19,14,9,1
Married,0,2,Master,55374,26,0,9,62,56,38,0,0
